0.45610011,0.70545930
0.15460281,0.24158047
0.81609350,0.31227872
0.07673421,0.63167936
0.82231557,0.70122117
0.47979429,0.37463173
0.23348318,0.78709668
0.00954405,0.42658681
0.60640579,0.20712459
0.36244914,0.20722584
0.33404124,0.54642731
0.86236811,0.50172073
0.63006169,0.79036212
0.59195817,0.51120126
0.31883430,0.40257442
0.69528878,0.68021405
0.12925909,0.36635223
0.35932606,0.79344028
0.47492579,0.24923469
0.26352054,0.29043123
0.19933109,0.67444146
0.77910346,0.60054904
0.03301828,0.53240407
0.51629639,0.62074238
0.70463711,0.23739320
